"Test Case ID","Module / Feature","Test Scenario Description","Selenium Automation Steps","Locator Strategy","Input Data / Parameters","Expected Result","Priority","Execution Status"
"TC_QR_004","Digital Entry Pass and QR Code","Verify QR preview card rendering on right side","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify QR preview card rendering on right side","css=[data-test='tc_qr_4']","Test Param: Verify QR preview card rendering on right side","Web app UI and state update properly for: Verify QR preview card rendering on right side","High","Ready for Automation"
"TC_QR_005","Digital Entry Pass and QR Code","Verify active booking card displays ground name date slot time amount","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify active booking card displays ground name date slot time amount","css=[data-test='tc_qr_5']","Test Param: Verify active booking card displays ground name date slot time amount","Web app UI and state update properly for: Verify active booking card displays ground name date slot time amount","Medium","Ready for Automation"
"TC_QR_006","Digital Entry Pass and QR Code","Verify booking card status badge Amount - Status PaymentMethod","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify booking card status badge Amount - Status PaymentMethod","css=[data-test='tc_qr_6']","Test Param: Verify booking card status badge Amount - Status PaymentMethod","Web app UI and state update properly for: Verify booking card status badge Amount - Status PaymentMethod","Low","Ready for Automation"
"TC_QR_007","Digital Entry Pass and QR Code","Verify View QR Pass button on every booking card","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify View QR Pass button on every booking card","css=[data-test='tc_qr_7']","Test Param: Verify View QR Pass button on every booking card","Web app UI and state update properly for: Verify View QR Pass button on every booking card","High","Ready for Automation"
"TC_QR_008","Digital Entry Pass and QR Code","Verify clicking View QR Pass populates booking details in QR preview card","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify clicking View QR Pass populates booking details in QR preview card","css=[data-test='tc_qr_8']","Test Param: Verify clicking View QR Pass populates booking details in QR preview card","Web app UI and state update properly for: Verify clicking View QR Pass populates booking details in QR preview card","Medium","Ready for Automation"
"TC_QR_009","Digital Entry Pass and QR Code","Verify QR preview card ticket header status ACTIVE ENTRY PASS","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify QR preview card ticket header status ACTIVE ENTRY PASS","css=[data-test='tc_qr_9']","Test Param: Verify QR preview card ticket header status ACTIVE ENTRY PASS","Web app UI and state update properly for: Verify QR preview card ticket header status ACTIVE ENTRY PASS","Low","Ready for Automation"
"TC_QR_010","Digital Entry Pass and QR Code","Verify QR code canvas element generation using QRCode library","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify QR code canvas element generation using QRCode library","css=[data-test='tc_qr_10']","Test Param: Verify QR code canvas element generation using QRCode library","Web app UI and state update properly for: Verify QR code canvas element generation using QRCode library","High","Ready for Automation"
"TC_QR_011","Digital Entry Pass and QR Code","Verify QR code API fallback image when library un-instantiated","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify QR code API fallback image when library un-instantiated","css=[data-test='tc_qr_11']","Test Param: Verify QR code API fallback image when library un-instantiated","Web app UI and state update properly for: Verify QR code API fallback image when library un-instantiated","Medium","Ready for Automation"
"TC_QR_012","Digital Entry Pass and QR Code","Verify QR code encoded string format SMARTPLAYGROUND-ENTRY-TICKET","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify QR code encoded string format SMARTPLAYGROUND-ENTRY-TICKET","css=[data-test='tc_qr_12']","Test Param: Verify QR code encoded string format SMARTPLAYGROUND-ENTRY-TICKET","Web app UI and state update properly for: Verify QR code encoded string format SMARTPLAYGROUND-ENTRY-TICKET","Low","Ready for Automation"
"TC_QR_013","Digital Entry Pass and QR Code","Verify booking ID format in ticket details SP-XXXX","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify booking ID format in ticket details SP-XXXX","css=[data-test='tc_qr_13']","Test Param: Verify booking ID format in ticket details SP-XXXX","Web app UI and state update properly for: Verify booking ID format in ticket details SP-XXXX","High","Ready for Automation"
"TC_QR_014","Digital Entry Pass and QR Code","Verify time slot display in ticket details","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify time slot display in ticket details","css=[data-test='tc_qr_14']","Test Param: Verify time slot display in ticket details","Web app UI and state update properly for: Verify time slot display in ticket details","Medium","Ready for Automation"
"TC_QR_015","Digital Entry Pass and QR Code","Verify payment badge PAID rendering in ticket details","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify payment badge PAID rendering in ticket details","css=[data-test='tc_qr_15']","Test Param: Verify payment badge PAID rendering in ticket details","Web app UI and state update properly for: Verify payment badge PAID rendering in ticket details","Low","Ready for Automation"
"TC_QR_016","Digital Entry Pass and QR Code","Verify default QR pass selection loads first booking on tab open","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify default QR pass selection loads first booking on tab open","css=[data-test='tc_qr_16']","Test Param: Verify default QR pass selection loads first booking on tab open","Web app UI and state update properly for: Verify default QR pass selection loads first booking on tab open","High","Ready for Automation"
"TC_QR_017","Digital Entry Pass and QR Code","Verify filtering bookings list to show only logged-in user bookings","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify filtering bookings list to show only logged-in user bookings","css=[data-test='tc_qr_17']","Test Param: Verify filtering bookings list to show only logged-in user bookings","Web app UI and state update properly for: Verify filtering bookings list to show only logged-in user bookings","Medium","Ready for Automation"
"TC_QR_018","Digital Entry Pass and QR Code","Verify empty state view when logged-in user has no bookings","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify empty state view when logged-in user has no bookings","css=[data-test='tc_qr_18']","Test Param: Verify empty state view when logged-in user has no bookings","Web app UI and state update properly for: Verify empty state view when logged-in user has no bookings","Low","Ready for Automation"
"TC_QR_019","Digital Entry Pass and QR Code","Verify empty state message No Active Bookings Found for User","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify empty state message No Active Bookings Found for User","css=[data-test='tc_qr_19']","Test Param: Verify empty state message No Active Bookings Found for User","Web app UI and state update properly for: Verify empty state message No Active Bookings Found for User","High","Ready for Automation"
"TC_QR_020","Digital Entry Pass and QR Code","Verify empty state QR placeholder message Book a slot to generate pass","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify empty state QR placeholder message Book a slot to generate pass","css=[data-test='tc_qr_20']","Test Param: Verify empty state QR placeholder message Book a slot to generate pass","Web app UI and state update properly for: Verify empty state QR placeholder message Book a slot to generate pass","Medium","Ready for Automation"
"TC_QR_021","Digital Entry Pass and QR Code","Verify QR code contrast and scannability sizing 160x160 px","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify QR code contrast and scannability sizing 160x160 px","css=[data-test='tc_qr_21']","Test Param: Verify QR code contrast and scannability sizing 160x160 px","Web app UI and state update properly for: Verify QR code contrast and scannability sizing 160x160 px","Low","Ready for Automation"
"TC_QR_022","Digital Entry Pass and QR Code","Verify selecting different booking card switches displayed QR code instantly","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify selecting different booking card switches displayed QR code instantly","css=[data-test='tc_qr_22']","Test Param: Verify selecting different booking card switches displayed QR code instantly","Web app UI and state update properly for: Verify selecting different booking card switches displayed QR code instantly","High","Ready for Automation"
"TC_QR_023","Digital Entry Pass and QR Code","Verify booking date format rendering in booking cards","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify booking date format rendering in booking cards","css=[data-test='tc_qr_23']","Test Param: Verify booking date format rendering in booking cards","Web app UI and state update properly for: Verify booking date format rendering in booking cards","Medium","Ready for Automation"
"TC_QR_024","Digital Entry Pass and QR Code","Verify booking slot time format rendering in booking cards","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify booking slot time format rendering in booking cards","css=[data-test='tc_qr_24']","Test Param: Verify booking slot time format rendering in booking cards","Web app UI and state update properly for: Verify booking slot time format rendering in booking cards","Low","Ready for Automation"
"TC_QR_025","Digital Entry Pass and QR Code","Verify booking list scrollable behavior when user has 5+ bookings","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify booking list scrollable behavior when user has 5+ bookings","css=[data-test='tc_qr_25']","Test Param: Verify booking list scrollable behavior when user has 5+ bookings","Web app UI and state update properly for: Verify booking list scrollable behavior when user has 5+ bookings","High","Ready for Automation"
"TC_QR_026","Digital Entry Pass and QR Code","Verify QR preview card fixed sticky layout on desktop","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify QR preview card fixed sticky layout on desktop","css=[data-test='tc_qr_26']","Test Param: Verify QR preview card fixed sticky layout on desktop","Web app UI and state update properly for: Verify QR preview card fixed sticky layout on desktop","Medium","Ready for Automation"
"TC_QR_027","Digital Entry Pass and QR Code","Verify QR preview card responsive stacking on mobile layout","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify QR preview card responsive stacking on mobile layout","css=[data-test='tc_qr_27']","Test Param: Verify QR preview card responsive stacking on mobile layout","Web app UI and state update properly for: Verify QR preview card responsive stacking on mobile layout","Low","Ready for Automation"
"TC_QR_028","Digital Entry Pass and QR Code","Verify QR pass ticket border styling and badge tags","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify QR pass ticket border styling and badge tags","css=[data-test='tc_qr_28']","Test Param: Verify QR pass ticket border styling and badge tags","Web app UI and state update properly for: Verify QR pass ticket border styling and badge tags","High","Ready for Automation"
"TC_QR_029","Digital Entry Pass and QR Code","Verify offline QR pass rendering from cached local data","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify offline QR pass rendering from cached local data","css=[data-test='tc_qr_29']","Test Param: Verify offline QR pass rendering from cached local data","Web app UI and state update properly for: Verify offline QR pass rendering from cached local data","Medium","Ready for Automation"
"TC_QR_030","Digital Entry Pass and QR Code","Verify QR code scanning compatibility with venue scanner","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify QR code scanning compatibility with venue scanner","css=[data-test='tc_qr_30']","Test Param: Verify QR code scanning compatibility with venue scanner","Web app UI and state update properly for: Verify QR code scanning compatibility with venue scanner","Low","Ready for Automation"
"TC_QR_031","Digital Entry Pass and QR Code","Verify booking ID copy or inspection capability","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify booking ID copy or inspection capability","css=[data-test='tc_qr_31']","Test Param: Verify booking ID copy or inspection capability","Web app UI and state update properly for: Verify booking ID copy or inspection capability","High","Ready for Automation"
"TC_QR_032","Digital Entry Pass and QR Code","Verify payment method display on ticket pass","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify payment method display on ticket pass","css=[data-test='tc_qr_32']","Test Param: Verify payment method display on ticket pass","Web app UI and state update properly for: Verify payment method display on ticket pass","Medium","Ready for Automation"
"TC_QR_033","Digital Entry Pass and QR Code","Verify status color indicator green for confirmed paid","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify status color indicator green for confirmed paid","css=[data-test='tc_qr_33']","Test Param: Verify status color indicator green for confirmed paid","Web app UI and state update properly for: Verify status color indicator green for confirmed paid","Low","Ready for Automation"
"TC_QR_034","Digital Entry Pass and QR Code","Verify ticket header title update on booking switch","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify ticket header title update on booking switch","css=[data-test='tc_qr_34']","Test Param: Verify ticket header title update on booking switch","Web app UI and state update properly for: Verify ticket header title update on booking switch","High","Ready for Automation"
"TC_QR_035","Digital Entry Pass and QR Code","Verify section header subtitle Present your active QR Code at entry","1. Open http://127.0.0.1:8080/ 2. Navigate to Digital Entry Pass and QR Code 3. Perform test: Verify section header subtitle Present your active QR Code at entry","css=[data-test='tc_qr_35']","Test Param: Verify section header subtitle Present your active QR Code at entry","Web app UI and state update properly for: Verify section header subtitle Present your active QR Code at entry","Medium","Ready for Automation"
"TC_ADM_001","Super Admin Dashboard and Metrics","Verify navigating to Admin Dashboard tab via navbar button","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify navigating to Admin Dashboard tab via navbar button","css=[data-test='tc_adm_1']","Test Param: Verify navigating to Admin Dashboard tab via navbar button","Web app UI and state update properly for: Verify navigating to Admin Dashboard tab via navbar button","High","Ready for Automation"
"TC_ADM_002","Super Admin Dashboard and Metrics","Verify Admin Dashboard tab pane receives active class","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify Admin Dashboard tab pane receives active class","css=[data-test='tc_adm_2']","Test Param: Verify Admin Dashboard tab pane receives active class","Web app UI and state update properly for: Verify Admin Dashboard tab pane receives active class","Medium","Ready for Automation"
"TC_ADM_003","Super Admin Dashboard and Metrics","Verify Super Admin header title Super Admin Control Center","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify Super Admin header title Super Admin Control Center","css=[data-test='tc_adm_3']","Test Param: Verify Super Admin header title Super Admin Control Center","Web app UI and state update properly for: Verify Super Admin header title Super Admin Control Center","Low","Ready for Automation"
"TC_ADM_004","Super Admin Dashboard and Metrics","Verify admin status badge LIVE SYSTEM METRICS","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify admin status badge LIVE SYSTEM METRICS","css=[data-test='tc_adm_4']","Test Param: Verify admin status badge LIVE SYSTEM METRICS","Web app UI and state update properly for: Verify admin status badge LIVE SYSTEM METRICS","High","Ready for Automation"
"TC_ADM_005","Super Admin Dashboard and Metrics","Verify Total Arenas metric card value matches playgrounds count","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify Total Arenas metric card value matches playgrounds count","css=[data-test='tc_adm_5']","Test Param: Verify Total Arenas metric card value matches playgrounds count","Web app UI and state update properly for: Verify Total Arenas metric card value matches playgrounds count","Medium","Ready for Automation"
"TC_ADM_006","Super Admin Dashboard and Metrics","Verify Active Bookings metric card value calculation","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify Active Bookings metric card value calculation","css=[data-test='tc_adm_6']","Test Param: Verify Active Bookings metric card value calculation","Web app UI and state update properly for: Verify Active Bookings metric card value calculation","Low","Ready for Automation"
"TC_ADM_007","Super Admin Dashboard and Metrics","Verify Locked Slots metric card value display","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify Locked Slots metric card value display","css=[data-test='tc_adm_7']","Test Param: Verify Locked Slots metric card value display","Web app UI and state update properly for: Verify Locked Slots metric card value display","High","Ready for Automation"
"TC_ADM_008","Super Admin Dashboard and Metrics","Verify Total Revenue metric card formatting in Rupees","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify Total Revenue metric card formatting in Rupees","css=[data-test='tc_adm_8']","Test Param: Verify Total Revenue metric card formatting in Rupees","Web app UI and state update properly for: Verify Total Revenue metric card formatting in Rupees","Medium","Ready for Automation"
"TC_ADM_009","Super Admin Dashboard and Metrics","Verify metric card icons Arenas Bookings Locked Revenue","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify metric card icons Arenas Bookings Locked Revenue","css=[data-test='tc_adm_9']","Test Param: Verify metric card icons Arenas Bookings Locked Revenue","Web app UI and state update properly for: Verify metric card icons Arenas Bookings Locked Revenue","Low","Ready for Automation"
"TC_ADM_010","Super Admin Dashboard and Metrics","Verify Slot Lock Management table presence","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify Slot Lock Management table presence","css=[data-test='tc_adm_10']","Test Param: Verify Slot Lock Management table presence","Web app UI and state update properly for: Verify Slot Lock Management table presence","High","Ready for Automation"
"TC_ADM_011","Super Admin Dashboard and Metrics","Verify table headers Ground Name Slot Time Lock Status Hold Time Action","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify table headers Ground Name Slot Time Lock Status Hold Time Action","css=[data-test='tc_adm_11']","Test Param: Verify table headers Ground Name Slot Time Lock Status Hold Time Action","Web app UI and state update properly for: Verify table headers Ground Name Slot Time Lock Status Hold Time Action","Medium","Ready for Automation"
"TC_ADM_012","Super Admin Dashboard and Metrics","Verify table row rendering for locked slot Marina Turf Arena","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify table row rendering for locked slot Marina Turf Arena","css=[data-test='tc_adm_12']","Test Param: Verify table row rendering for locked slot Marina Turf Arena","Web app UI and state update properly for: Verify table row rendering for locked slot Marina Turf Arena","Low","Ready for Automation"
"TC_ADM_013","Super Admin Dashboard and Metrics","Verify status indicator LOCKED styled in red font","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify status indicator LOCKED styled in red font","css=[data-test='tc_adm_13']","Test Param: Verify status indicator LOCKED styled in red font","Web app UI and state update properly for: Verify status indicator LOCKED styled in red font","High","Ready for Automation"
"TC_ADM_014","Super Admin Dashboard and Metrics","Verify status indicator BOOKED styled in green font","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify status indicator BOOKED styled in green font","css=[data-test='tc_adm_14']","Test Param: Verify status indicator BOOKED styled in green font","Web app UI and state update properly for: Verify status indicator BOOKED styled in green font","Medium","Ready for Automation"
"TC_ADM_015","Super Admin Dashboard and Metrics","Verify hold time remaining countdown timer e.g. 08:42 mins","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify hold time remaining countdown timer e.g. 08:42 mins","css=[data-test='tc_adm_15']","Test Param: Verify hold time remaining countdown timer e.g. 08:42 mins","Web app UI and state update properly for: Verify hold time remaining countdown timer e.g. 08:42 mins","Low","Ready for Automation"
"TC_ADM_016","Super Admin Dashboard and Metrics","Verify action button Release Lock presence on locked rows","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify action button Release Lock presence on locked rows","css=[data-test='tc_adm_16']","Test Param: Verify action button Release Lock presence on locked rows","Web app UI and state update properly for: Verify action button Release Lock presence on locked rows","High","Ready for Automation"
"TC_ADM_017","Super Admin Dashboard and Metrics","Verify clicking Release Lock releases locked slot in table","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify clicking Release Lock releases locked slot in table","css=[data-test='tc_adm_17']","Test Param: Verify clicking Release Lock releases locked slot in table","Web app UI and state update properly for: Verify clicking Release Lock releases locked slot in table","Medium","Ready for Automation"
"TC_ADM_018","Super Admin Dashboard and Metrics","Verify live system metrics update when new booking occurs","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify live system metrics update when new booking occurs","css=[data-test='tc_adm_18']","Test Param: Verify live system metrics update when new booking occurs","Web app UI and state update properly for: Verify live system metrics update when new booking occurs","Low","Ready for Automation"
"TC_ADM_019","Super Admin Dashboard and Metrics","Verify admin table responsive horizontal scrollbar on small screens","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify admin table responsive horizontal scrollbar on small screens","css=[data-test='tc_adm_19']","Test Param: Verify admin table responsive horizontal scrollbar on small screens","Web app UI and state update properly for: Verify admin table responsive horizontal scrollbar on small screens","High","Ready for Automation"
"TC_ADM_020","Super Admin Dashboard and Metrics","Verify admin metric cards flex layout grid","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify admin metric cards flex layout grid","css=[data-test='tc_adm_20']","Test Param: Verify admin metric cards flex layout grid","Web app UI and state update properly for: Verify admin metric cards flex layout grid","Medium","Ready for Automation"
"TC_ADM_021","Super Admin Dashboard and Metrics","Verify admin dashboard access permission check","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify admin dashboard access permission check","css=[data-test='tc_adm_21']","Test Param: Verify admin dashboard access permission check","Web app UI and state update properly for: Verify admin dashboard access permission check","Low","Ready for Automation"
"TC_ADM_022","Super Admin Dashboard and Metrics","Verify total revenue calculation accumulation logic","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify total revenue calculation accumulation logic","css=[data-test='tc_adm_22']","Test Param: Verify total revenue calculation accumulation logic","Web app UI and state update properly for: Verify total revenue calculation accumulation logic","High","Ready for Automation"
"TC_ADM_023","Super Admin Dashboard and Metrics","Verify admin table zebra striping or row border styling","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify admin table zebra striping or row border styling","css=[data-test='tc_adm_23']","Test Param: Verify admin table zebra striping or row border styling","Web app UI and state update properly for: Verify admin table zebra striping or row border styling","Medium","Ready for Automation"
"TC_ADM_024","Super Admin Dashboard and Metrics","Verify admin action button hover states","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify admin action button hover states","css=[data-test='tc_adm_24']","Test Param: Verify admin action button hover states","Web app UI and state update properly for: Verify admin action button hover states","Low","Ready for Automation"
"TC_ADM_025","Super Admin Dashboard and Metrics","Verify metrics auto-refresh interval","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify metrics auto-refresh interval","css=[data-test='tc_adm_25']","Test Param: Verify metrics auto-refresh interval","Web app UI and state update properly for: Verify metrics auto-refresh interval","High","Ready for Automation"
"TC_ADM_026","Super Admin Dashboard and Metrics","Verify admin table empty row fallback handling","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify admin table empty row fallback handling","css=[data-test='tc_adm_26']","Test Param: Verify admin table empty row fallback handling","Web app UI and state update properly for: Verify admin table empty row fallback handling","Medium","Ready for Automation"
"TC_ADM_027","Super Admin Dashboard and Metrics","Verify admin dashboard tab badge button styling in top navbar","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify admin dashboard tab badge button styling in top navbar","css=[data-test='tc_adm_27']","Test Param: Verify admin dashboard tab badge button styling in top navbar","Web app UI and state update properly for: Verify admin dashboard tab badge button styling in top navbar","Low","Ready for Automation"
"TC_ADM_028","Super Admin Dashboard and Metrics","Verify total bookings count incrementing on new booking","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify total bookings count incrementing on new booking","css=[data-test='tc_adm_28']","Test Param: Verify total bookings count incrementing on new booking","Web app UI and state update properly for: Verify total bookings count incrementing on new booking","High","Ready for Automation"
"TC_ADM_029","Super Admin Dashboard and Metrics","Verify admin metrics number formatting with comma separators","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify admin metrics number formatting with comma separators","css=[data-test='tc_adm_29']","Test Param: Verify admin metrics number formatting with comma separators","Web app UI and state update properly for: Verify admin metrics number formatting with comma separators","Medium","Ready for Automation"
"TC_ADM_030","Super Admin Dashboard and Metrics","Verify full page layout integrity in Admin Dashboard tab","1. Open http://127.0.0.1:8080/ 2. Navigate to Super Admin Dashboard and Metrics 3. Perform test: Verify full page layout integrity in Admin Dashboard tab","css=[data-test='tc_adm_30']","Test Param: Verify full page layout integrity in Admin Dashboard tab","Web app UI and state update properly for: Verify full page layout integrity in Admin Dashboard tab","Low","Ready for Automation"
